patientID,dice_score
11284,0.021390598267316818
10372,0.009408479556441307
10768,0.0032848441042006016
10074,0.004785321652889252
10418,0.06798160076141357
11165,0.026406580582261086
10442,0.0030242784414440393
10486,0.01347177941352129
10043,0.03386013209819794
10164,0.00397783238440752
10241,0.06816449761390686
10522,0.00776150356978178
10728,0.005407662596553564
10825,0.05544457212090492
11137,0.06941133737564087
11236,0.003354978049173951
11361,0.013684196397662163
10107,0.03237922117114067
10539,0.050960611552000046
10743,0.0043218848295509815
10910,0.00797463208436966
11051,0.024764928966760635
11086,0.025049680843949318
11155,0.028749752789735794
11444,0.026521801948547363
10005,0.04923082888126373
10329,0.036820851266384125
10434,0.03704817220568657
10484,0.07515624910593033
10807,0.009153272956609726
10888,0.013767732307314873
11177,0.005600267089903355
11253,0.058177344501018524
11300,0.02578066848218441
10085,0.006250136066228151
10274,0.005132684484124184
10380,0.038973987102508545
10390,0.004436181858181953
10665,0.049469709396362305
10872,0.07080760598182678
11168,0.02768625132739544
10059,0.06473156064748764
10262,0.046896789222955704
10322,0.03925609216094017
10340,0.024280548095703125
10607,0.01851917803287506
10798,0.007025459315627813
10839,0.03441247716546059
10915,0.008182969875633717
11231,0.04005683586001396
11278,0.013707964681088924
10040,0.048617273569107056
10117,0.09358303993940353
10168,0.005685789044946432
10211,0.04092874377965927
10216,0.05993548408150673
10339,0.054717741906642914
10568,0.044015273451805115
10668,0.0025660600513219833
10699,0.07830547541379929
11122,0.05119466036558151
11188,0.005044091958552599
11247,0.025857798755168915
11260,0.0033754666801542044
11280,0.042784884572029114
10048,0.034428004175424576
10097,0.027813704684376717
10233,0.028566759079694748
10268,0.053254324942827225
10294,0.014579867012798786
10503,0.0354769229888916
10589,0.005871190689504147
10804,0.038914602249860764
10968,0.09106016904115677
11229,0.04496241360902786
11384,0.03977718949317932
10157,0.03472159802913666
10383,0.0501970574259758
11256,0.05866047739982605
11448,0.04142682999372482
